Date,GEO,MEASURES,Value
1954,Nunavut,Household income per capita,..
1955,Nunavut,Household income per capita,..
1956,Nunavut,Household income per capita,..
1957,Nunavut,Household income per capita,..
1958,Nunavut,Household income per capita,..
1959,Nunavut,Household income per capita,..
1960,Nunavut,Household income per capita,..
1961,Nunavut,Household income per capita,..
1962,Nunavut,Household income per capita,..
1963,Nunavut,Household income per capita,..
1964,Nunavut,Household income per capita,..
1965,Nunavut,Household income per capita,..
1966,Nunavut,Household income per capita,..
1967,Nunavut,Household income per capita,..
1968,Nunavut,Household income per capita,..
1969,Nunavut,Household income per capita,..
1970,Nunavut,Household income per capita,..
1971,Nunavut,Household income per capita,..
1972,Nunavut,Household income per capita,..
1973,Nunavut,Household income per capita,..
1974,Nunavut,Household income per capita,..
1975,Nunavut,Household income per capita,..
1976,Nunavut,Household income per capita,..
1977,Nunavut,Household income per capita,..
1978,Nunavut,Household income per capita,..
1979,Nunavut,Household income per capita,..
1980,Nunavut,Household income per capita,..
1981,Nunavut,Household income per capita,..
1982,Nunavut,Household income per capita,..
1983,Nunavut,Household income per capita,..
1984,Nunavut,Household income per capita,..
1985,Nunavut,Household income per capita,..
1986,Nunavut,Household income per capita,..
1987,Nunavut,Household income per capita,..
1988,Nunavut,Household income per capita,..
1989,Nunavut,Household income per capita,..
1990,Nunavut,Household income per capita,..
1991,Nunavut,Household income per capita,..
1992,Nunavut,Household income per capita,..
1993,Nunavut,Household income per capita,..
1994,Nunavut,Household income per capita,..
1995,Nunavut,Household income per capita,..
1996,Nunavut,Household income per capita,..
1997,Nunavut,Household income per capita,..
1998,Nunavut,Household income per capita,..
1999,Nunavut,Household income per capita,21740.7
2000,Nunavut,Household income per capita,24259.3
2001,Nunavut,Household income per capita,25214.3
2002,Nunavut,Household income per capita,26678.6
2003,Nunavut,Household income per capita,27793.1
2004,Nunavut,Household income per capita,28166.7
2005,Nunavut,Household income per capita,29233.3
2006,Nunavut,Household income per capita,30451.6
2007,Nunavut,Household income per capita,32129
2008,Nunavut,Household income per capita,34156.3
2009,Nunavut,Household income per capita,34343.8
2010,Nunavut,Household income per capita,35818.2
2011,Nunavut,Household income per capita,37264.7
2012,Nunavut,Household income per capita,38057.1
2013,Nunavut,Household income per capita,39885.7
